Name,HardClauses,Variables,SoftUnits,cost,UnsatBound
pseudoBoolean-normalized-g9x9.opb.msat,25928,25796,6720,20,6701
pseudoBoolean-normalized-hanoi4.opb.msat,29388,29597,7349,718,6632
pseudoBoolean-normalized-hanoi5.opb.msat,64152,18576,18576,1931,16646
pseudoBoolean-normalized-mps-v2-20-10-stein45.opb.msat,64152,18576,18576,30,18547
pseudoBoolean-normalized-par16-1.opb.msat,64152,18576,18576,1015,17562
pseudoBoolean-normalized-par16-2.opb.msat,64152,18576,18576,1015,17562
pseudoBoolean-normalized-par8-2.opb.msat,79120,22880,22880,350,22531
pseudoBoolean-normalized-ssa7552-038.opb.msat,79120,22880,22880,1448,21433
pseudoBoolean-normalized-ssa7552-159.opb.msat,61845,58647,14623,1327,13297
railway-transport-dp43,92421,89740,17989,47,17943
railway-transport-p15,83904,83896,21342,5,21338
railway-transport-pesp_5min,65280,15312,15312,68,15245
ramsey-ram_k4_n10.ra0,377202,40788,300,0,301
ramsey-ram_k4_n11.ra0,9212500,1121555,521,0,522
ramsey-ram_k4_n12.ra0,2368742,296131,521,0,522
ramsey-ram_k4_n5.ra0,6666335,679941,2556,0,2557
ramsey-ram_k4_n8.ra0,653211,51533,2556,0,2557
ramsey-ram_k5_n11.ra0,4008926,477811,503,0,504
ramsey-ram_k5_n14.ra0,295530,34875,503,0,504
ramsey-ram_k5_n16.ra0,1055664,125987,503,0,504
ramsey-ram_k5_n20.ra0,21686033,2541523,2552,0,2553
rna-alignment-k50-23-49.rna.pre,1612077,187419,2552,536,2017
rna-alignment-k50-40-60.rna.pre,2413090,1225430,310,511,-200
rna-alignment-random-same-7.rna.pre,271100,114705,80,272,-191
scheduling-cnf_10_center,2191365,1119405,300,159,142
scheduling-cnf_12_center,333261,100988,62,237,-174
scheduling-cnf_12,118609,42065,40,61,-20
scheduling-cnf_small,1564992,874989,297,28,270
SeanSafarpour-b15-bug-fourvec-gate-0.dimacs.seq.filtered,968669,479096,206,4,203
SeanSafarpour-c1_DD_s3_f1_e2_v1-bug-fourvec-gate-0.dimacs.seq.filtered,75501,46941,91,4,88
SeanSafarpour-c6_DD_s3_f1_e1_v1-bug-fourvec-gate-0.dimacs.seq.filtered,553566,69783,3547,4,3544
SeanSafarpour-divider-problem.dimacs_5.filtered,229516,80452,1697,2,1696
SeanSafarpour-fpu1-problem.dimacs_13.filtered,301093,104894,1948,1,1948
SeanSafarpour-mem_ctrl-problem.dimacs_27.filtered,436852,152639,3018,1,3018
SeanSafarpour-rsdecoder-problem.dimacs_34.filtered,445747,160596,5178,1,5178
SeanSafarpour-rsdecoder-problem.dimacs_37.filtered,436747,152604,3018,1,3018
SeanSafarpour-rsdecoder-problem.dimacs_39.filtered,16042,10589,4792,1,4792
SeanSafarpour-rsdecoder4.dimacs.filtered,16105,10519,4230,4,4227
SeanSafarpour-rsdecoder5.dimacs.filtered,14977,9808,4089,2,4088
SeanSafarpour-wb_4m8s4.dimacs.filtered,14715,9676,4204,205,4000
SeanSafarpour-wb_conmax3.dimacs.filtered,154020,102060,47917,33,47885
SeanSafarpour-wb-problem.dimacs_45.filtered,191144,21570,105,14,92
treewidth-computation-TWComp_1dj7_N73,128374,14450,105,26,80
treewidth-computation-TWComp_1en2_N69,1030200,5151,5151,16,5136
treewidth-computation-TWComp_alarm_N37,1437,6139,6139,4,6136
treewidth-computation-TWComp_barle_N48,391541,45245,27329,7,27323
treewidth-computation-TWComp_barley2_N48,445817,11902,7367,7,7361
treewidth-computation-TWComp_celar02_N100,1610812,43518,27182,10,27173
treewidth-computation-TWComp_david_N87,4856101,110323,48021,13,48009
treewidth-computation-TWComp_david-pp_N29,108526,15416,845,13,833
treewidth-computation-TWComp_hailfinder_N56,698520,72105,3710,4,3707
treewidth-computation-TWComp_mulsol.i.5-pp_N119,4691355,328138,15785,31,15755
treewidth-computation-TWComp_myciel4_N23,1203840,117007,5280,10,5271
treewidth-computation-TWComp_oesoca4_N42,109816,16758,700,3,698
treewidth-computation-TWComp_queen5_5_N25,429552,52407,2184,18,2167
treewidth-computation-TWComp_ship-ship-pp_N30,963522,90752,5021,8,5014
treewidth-computation-TWComp_water_N32,1144940,113181,5028,9,5020
vpa-UAutomizer_Addition01_true-unreach-call_true-no-overflow_true-termination.c_Abstraction1,136281,6484,6484,681,5804
vpa-UAutomizer_AliasDarteFeautrierGonnord-SAS2010-speedpldi2_true-termination_true-no-overflow.c_Abstraction1,2889,4754,4754,201,4554
vpa-UAutomizer_array08_alloca_true-termination.c.i_Abstraction1,6322,11561,11561,883,10679
vpa-UAutomizer_array12_alloca_true-termination.c.i_Abstraction1,159850,11561,11561,696,10866
vpa-UAutomizer_c.03-alloca_true-termination_true-no-overflow.c.i_Abstraction3,10704,14256,14256,4588,9669
vpa-UAutomizer_cll_search-alloca_false-termination.c.i_Abstraction1,85475,14256,14256,1363,12894
vpa-UAutomizer_CookSeeZuleger-TACAS2013-Fig7a_true-termination_true-no-overflow.c_Abstraction1,364862,5475,25984,105,25880
vpa-UAutomizer_count_up_alloca_true-termination.c.i_Abstraction1,511252,7873,103936,808,103129
vpa-UAutomizer_GopanReps-CAV2006-Fig1a_true-termination_true-no-overflow.c.c_Abstraction1,492959,8240,174848,617,174232
vpa-UAutomizer_ll_append-alloca_false-termination.c.i_Abstraction1,63795,2272,9472,4166,5307
vpa-UAutomizer_LogAG_true-termination_true-no-overflow.c_Abstraction2,86395,4072,86016,118,85899
vpa-UAutomizer_NarrowKonv_false-termination_true-no-overflow.c_Abstraction2,223770,5780,80640,843,79798
vpa-UAutomizer_nondet_ll_search-alloca_true-termination.c.i_Abstraction1,4588696,20335,102080,1421,100660
vpa-UAutomizer_seq_true-unreach-call_true-termination.i_Abstraction1,5506665,24466,204160,299,203862
vpa-UAutomizer_Sunset_false-termination_true-no-overflow.c_Abstraction1,130496,5275,30656,733,29924
wqueens-wqueens10_8.wcsp.dir,183090,7593,122624,4,122621
wqueens-wqueens12_10.wcsp.dir,6944409,2318193,15,4,12
wqueens-wqueens14_12.wcsp.dir,9259207,3090919,20,4,17
wqueens-wqueens16_14.wcsp.dir,11394,6352,6352,5,6348
wqueens-wqueens18_16.wcsp.dir,11397,6352,6352,6,6347
wqueens-wqueens6_4.wcsp.dir,11409,6352,6352,2,6351
wqueens-wqueens8_6.wcsp.dir,13806021,307678,50400,1,50400
xai-mindset2-appendicitis,2595539,41287,11670,56,11615
xai-mindset2-australian,6939377,280446,18170,392,17779
xai-mindset2-cleveland-nominal,0,45,330,228,103
xai-mindset2-corral,0,120,2380,12,2369
xai-mindset2-hepatitis,0,171,4845,58,4788
xai-mindset2-house-votes-84,0,190,9690,74,9617
xai-mindset2-iris,1056214,259443,1725,87,1639
xai-mindset2-lymphography,3015,135,135,52,84
xai-mindset2-new-thyroid,9801,243,243,126,118
xai-mindset2-postoperative-patient-data,27270,405,405,62,344
xai-mindset2-promoters,88452,729,729,92,638
xai-mindset2-titanic,636466,40724,5810,7,5804
xai-mindset2-zoo,310872,37653,6426,20,6407
